route_id,trip_id,service_id,direction_id,shape_id
15212,1057269,4,0,30
15212,1057270,4,1,31
15212,1057272,4,0,30
15212,1057273,4,1,31
15212,1057275,4,0,30
15212,1057276,4,1,31
15212,1057277,4,0,30
15212,1057278,4,1,31
15212,1057280,4,0,30
15212,1057281,4,1,31
15212,1057283,4,0,30
15212,1057284,4,1,31
15212,1057285,4,0,30
15212,1057286,4,1,31
15212,1057287,4,0,30
15212,1057288,4,1,31
15212,1057290,4,0,30
15212,1057291,4,1,31
15212,1057292,4,0,30
15212,1057294,4,0,30
15212,1057295,4,1,31
15212,1057296,4,0,30
15212,1057297,4,1,31
15212,1057298,4,1,31
15212,1057300,4,0,30
15212,1057301,4,1,31
15212,1057303,4,0,30
15212,1057304,4,1,31
15212,1057306,4,0,30
15212,1057307,4,1,31
15212,1057308,4,0,30
15212,1057309,4,1,31
15212,1057310,4,0,30
15212,1057311,4,1,31
15212,1057312,4,0,30
15212,1057313,4,1,31
15212,1057314,4,0,30
15212,1057315,4,1,31
15212,1057316,4,0,30
15212,1057317,4,1,31
15212,1057318,4,0,30
15212,1057319,4,1,31
15212,1057320,4,0,30
15212,1057321,4,1,31
15212,1057322,4,0,30
15212,1057323,4,1,31
15212,1057325,4,0,30
15212,1057326,4,1,31
15212,1057327,4,0,30
15212,1057328,4,1,31
15212,1057330,4,0,30
15212,1057331,4,1,31
15220,1057395,4,0,52
15220,1057396,4,1,53
15220,1057398,4,0,52
15220,1057399,4,1,53
15220,1057400,4,0,52
15220,1057401,4,1,53
15220,1057403,4,0,52
15220,1057404,4,1,53
15220,1057405,4,0,52
15220,1057406,4,1,53
15220,1057407,4,0,52
15220,1057408,4,1,53
15220,1057409,4,0,52
15220,1057410,4,1,53
15220,1057411,4,0,52
15220,1057412,4,1,53
15220,1057414,4,0,52
15220,1057415,4,1,54
15220,1057416,4,0,52
15220,1057417,4,1,53
15220,1057418,4,0,52
15220,1057419,4,1,53
15220,1057422,4,0,52
15220,1057423,4,1,53
15220,1057424,4,0,52
15220,1057425,4,1,53
15220,1057426,4,0,52
15220,1057427,4,1,53
15220,1057428,4,0,52
15220,1057429,4,1,53
15220,1057430,4,0,52
15220,1057431,4,1,53
15220,1057432,4,0,52
15220,1057433,4,1,53
15220,1057434,4,0,52
15220,1057435,4,1,53
15220,1057437,4,0,52
15220,1057438,4,1,53
15220,1057439,4,0,52
15220,1057440,4,1,53
15220,1057441,4,0,52
15220,1057442,4,1,53
15220,1057443,4,0,52
15220,1057444,4,1,53
15220,1057445,4,0,52
15220,1057446,4,1,53
15220,1057447,4,0,52
15220,1057448,4,1,53
15220,1057449,4,0,52
15220,1057450,4,1,53
15220,1057452,4,0,52
15220,1057453,4,1,53
15220,1057454,4,0,52
15220,1057455,4,1,53
15220,1057456,4,0,52
15220,1057457,4,1,53
15220,1057458,4,0,52
15220,1057459,4,1,53
15220,1057460,4,0,52
15220,1057461,4,1,53
15220,1057462,4,0,52
15220,1057463,4,1,53
15220,1057464,4,0,52
15220,1057465,4,1,53
15220,1057466,4,0,52
15220,1057467,4,1,53
15220,1057468,4,0,52
15220,1057469,4,1,53
15220,1057470,4,0,52
15220,1057471,4,1,53
15220,1057473,4,0,52
15220,1057474,4,1,53
15220,1057475,4,0,52
15220,1057476,4,1,53
15220,1057478,4,0,52
15220,1057479,4,1,53
15220,1057481,4,0,52
15220,1057482,4,1,54
15220,1057483,4,0,52
15220,1057484,4,1,53
15220,1057485,4,0,52
15220,1057486,4,1,53
15220,1057488,4,0,52
15220,1057489,4,1,53
15220,1057491,4,0,52
15220,1057492,4,1,53
15220,1057494,4,0,52
15220,1057495,4,1,53
15220,1057496,4,0,52
15220,1057497,4,1,53
15220,1057498,4,0,52
15220,1057499,4,1,53
15220,1057500,4,0,52
15220,1057501,4,1,53
15220,1057502,4,0,52
15220,1057503,4,1,53
15220,1057504,4,0,52
15220,1057505,4,1,53
15220,1057506,4,0,52
15220,1057507,4,1,53
15220,1057508,4,0,52
15220,1057509,4,1,53
15220,1057511,4,0,52
15220,1057512,4,1,53
15220,1057513,4,0,52
